title,artist,genre
BBoom BBoom,MOMOLAND,pop
Dumb Litty,KARD,pop
POP/STARS,K/DA,pop
MIDDLE OF THE NIGHT,Monsta X,pop
Boy With Luv (feat. Halsey),BTS,pop
Bon Bon Chocolat,EVERGLOW,pop
gogobebe,Mamamoo,pop
IDOL,BTS,pop
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,pop
KILLING ME,iKON,pop
As If It's Your Last,BLACKPINK,pop
MIROH,Stray Kids,pop
Forever Love,YOUNGJAE,pop
BOSS,NCT,pop
Forever Young,BLACKPINK,pop
Egotistic,Mamamoo,pop
Bomb Bomb,KARD,pop
DNA,BTS,pop
Roller Coaster,CHUNG HA,pop
YES or YES,TWICE,pop
FLASH,X1,pop
HANN (Alone),(G)I-DLE,pop
하드캐리 Hard Carry,GOT7,pop
ME,CLC,pop
BAAM,MOMOLAND,pop
DDD,EXID,pop
Starry Night,Mamamoo,pop
Siren,SUNMI,pop
HIT,SEVENTEEN,pop
Heroine,SUNMI,pop
Way Back Home,SHAUN,pop
I’m So Hot,MOMOLAND,pop
Me & You,EXID,pop
No,CLC,pop
PICK ME,PRODUCE 48,pop
WANT,TAEMIN,pop
Fever,GFRIEND,pop
Room Shaker,Ailee,pop
Power Up,Red Velvet,pop
LALALAY 날라리,SUNMI,pop
8282(Party),twlv,pop
D.D.D,THE BOYZ,pop
Not That Type,gugudan,pop
Humph!,PENTAGON,pop
Play It Cool,Monsta X,pop
AH YEAH,WINNER,pop
SHA LA LA,PENTAGON,pop
SUNDAY,FANATICS,pop
BEEP BEEP,RUANN,pop
The Only (feat. IRENE of Red Velvet),Raiden,pop
Break the Distance,ELYAZ,pop
I Could Get Used To This,Becky Hill,pop
Therapy,Armin van Buuren,pop
Sunshine,David Guetta,pop
Giant - Robin Schulz Remix,Calvin Harris,pop
Somebody,The Chainsmokers,pop
Like I Love You,Lost Frequencies,pop
Walk Away,Alle Farben,pop
I Need You,Armin van Buuren,pop
Without You (feat. Sandro Cavazza),Avicii,pop
Something Just Like This - Alesso Remix,The Chainsmokers,pop
Don't You Worry Child - Radio Edit,Swedish House Mafia,pop
Fine Day,Keanu Silva,pop
BOOM,Tiësto,pop
Whispers,ELYAZ,pop
Secrets - Radio Edit,Tiësto,pop
Forever,Martin Garrix,pop
Carry Me Home (feat. Jake Reese),KSHMR,pop
A Sky Full of Stars,Coldplay,pop
Don't Let Me Down - Illenium Remix,The Chainsmokers,pop
Selfish,Dimitri Vegas & Like Mike,pop
The Days,Avicii,pop
My Way,Calvin Harris,pop
I Love You,Axwell /\ Ingrosso,pop
Happy Now,Zedd,pop
Born To Be Yours,Kygo,pop
Counting Stars,OneRepublic,pop
Recognise,Lost Frequencies,pop
Like I Love You,Lost Frequencies,pop
Don't Give Up On Me,Armin van Buuren,pop
Bromance - Avicii Remix,Tim Berg,pop
This Is What It Feels Like,Armin van Buuren,pop
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,pop
Lions in the Wild,Martin Garrix,pop
Blame,Calvin Harris,pop
Lovers on the Sun (feat. Sam Martin),David Guetta,pop
Broken Arrows,Avicii,pop
Red Lights,Tiësto,pop
Now That I've Found You,Martin Garrix,pop
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,pop
Something New,Axwell /\ Ingrosso,pop
"Alone, Pt. II",Alan Walker,pop
Family,The Chainsmokers,pop
All That She Wants,Campsite Dream,pop
Push My Luck,The Chainsmokers,pop
Some Say - Felix Jaehn Remix,Nea,pop
Here Comes The Sun,Campsite Dream,pop
Roses - Imanbek Remix,SAINt JHN,pop
Sad,Aivarask,pop
Safety (feat. DJ Snake),GASHI,pop
Summer Lover (feat. Devin & Nile Rodgers),Oliver Heldens,pop
We Got Love,Sigala,pop
Mr Todd Terry,Riton,pop
As Far as Feelings Go,Alle Farben,pop
Summer Fade (feat. Anna of the North),Snakehips,pop
Loving Myself (feat. Raphaella),Henri PFR,pop
Haloes,Ina Wroldsen,pop
Gotta Let Go,Hypanda,pop
Narcotic,Younotus,pop
Do You Mean (feat. Ty Dolla $ign & bülow),The Chainsmokers,pop
"My One (feat. Tory Lanez, Kranium & Dappy) (Todd Edwards Remix)",Wiley,pop
Be Someone,CamelPhat,pop
Do You Miss Me Much - Wookie Remix,Craig David,pop
Ghost,Au/Ra,pop
Stand By (feat. Rudimental) [#CWC19],LORYN,pop
Acid Dreams,MAX,pop
Kills You Slowly,The Chainsmokers,pop
Don't Worry Bout Me - Alle Farben Remix,Zara Larsson,pop
Let Me Love You,Campsite Dream,pop
Spicy - with Diplo & Charli XCX,Herve Pagez,pop
Summer Lover (feat. Devin & Nile Rodgers) - Moguai Remix,Oliver Heldens,pop
Mistaken (feat. Alex Aris),Martin Garrix,pop
Instagram - Dimitri Vegas & Like Mike VS Trobi Remix,Dimitri Vegas & Like Mike,pop
Do It Again,Steve Aoki,pop
Can We Pretend (feat. Cash Cash),P!nk,pop
On My Way,Alan Walker,pop
Body 2 Body,MK,pop
Late Night Feelings - Jax Jones Midnight Snack Remix,Mark Ronson,pop
Shy Guy,Campsite Dream,pop
Late Night Feelings (feat. Lykke Li),Mark Ronson,pop
No New Friends - Dombresky Remix,Sia,pop
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,pop
"Heaven Can Wait (feat. Sia, Diplo, and Labrinth)",Sia,pop
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,pop
Dancing With A Stranger (with Normani),Sam Smith,pop
Play,K-391,pop
Say You'll Be There,Campsite Dream,pop
Diamond Heart,Alan Walker,pop
Paris,The Chainsmokers,pop
Stole the Show,Kygo,pop
Lose Yourself to Dance,Daft Punk,pop
Say My Name,David Guetta,pop
Hold My Girl - Martin Jensen Remix,George Ezra,pop
Final Song,MØ,pop
Slow Down (with Calvin Harris),Normani,pop
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,pop
Born To Be Yours,Kygo,pop
Changes,Faul & Wad Ad,pop
No Diggity,Campsite Dream,pop
Never Forget You,Zara Larsson,pop
One Kiss (with Dua Lipa) - Oliver Heldens Remix,Calvin Harris,pop
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,pop
Praise You - Purple Disco Machine Remix,Fatboy Slim,pop
Back & Forth,MK,pop
Slide (feat. Frank Ocean & Migos),Calvin Harris,pop
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,pop
Giving Up (feat. Jaden Michaels),QUIX,pop
17,MK,pop
Lullaby,Sigala,pop
Who Do You Love,The Chainsmokers,pop
Fire In My Soul,Oliver Heldens,pop
We Don't Talk,Wiktoria,pop
Love You Better,John De Sohn,pop
Top of the World - Erlandsson Remix,Vide,pop
The Rest Will Follow,Ludvigsson,pop
So It Goes,Caj Morgan,pop
Unbelievable,Andrew Roman,pop
Photograph,Ljung,pop
Faded,John De Sohn,pop
Only You,Hogland,pop
I Don't Know,Ericé,pop
Too Close,Ria Mae,pop
Hole in the Roof,AronChupa,pop
Nobody Else,Wahlstedt,pop
Dance Monkey,Skylike,pop
Free,JRL,pop
My Own Dance,Kesha,pop
Bigger Than,Justin Jesso,pop
I Got Eyes,John De Sohn,pop
Bleed,Haze & Mellow,pop
Hold on Tight,Sterkøl,pop
Once and for All,Moe Aly,pop
Fantasy,Laureano,pop
